customer_id,region,customer_segment,risk_rating,occupation,avg_monthly_inflow,account_tenure_years
1,Northeast,Mass Market,Low,Technology,11627.71,3
2,Northeast,Mass Market,High,Education,100,3
3,West,Affluent,Low,Hospitality,16243.87,5
4,South,Mass Market,Medium,Consulting,4360.58,2
5,Northeast,Small Business,Medium,Self-Employed,12211.72,2
6,Midwest,Emerging Affluent,High,Technology,9527.93,6
7,West,Affluent,Medium,Technology,17499.18,2
8,South,Mass Market,Low,Construction,2098.78,4
9,South,Small Business,Low,Consulting,13604.21,1
10,South,Mass Market,Low,Hospitality,4793.79,5
11,Northeast,Emerging Affluent,Medium,Retail,7692.67,7
12,Midwest,Affluent,Medium,Retail,19901.15,7
13,Midwest,Mass Market,Low,Retail,4397.15,4
14,West,Mass Market,Low,Education,12345.05,7
15,South,Small Business,Medium,Education,13963.92,5
16,Northeast,Mass Market,Medium,Consulting,3985.06,7
17,Northeast,Emerging Affluent,Low,Healthcare,8834.45,4
18,Northeast,Mass Market,High,Technology,5372.2,1
19,South,Emerging Affluent,Low,Education,13550.45,6
20,Midwest,Emerging Affluent,Low,Healthcare,5663.21,8
21,Northeast,Emerging Affluent,Low,Education,9506.62,2
22,South,Mass Market,Low,Retail,13218.52,6
23,South,Emerging Affluent,Medium,Retail,15384.31,4
24,South,Mass Market,Low,Construction,8953.26,1
25,Northeast,Emerging Affluent,Low,Self-Employed,8394.05,4
26,Midwest,Mass Market,Low,Consulting,100,1
27,Midwest,Mass Market,Low,Consulting,5536.04,8
28,West,Mass Market,High,Retail,6841.13,7
29,Northeast,Mass Market,Low,Education,100,4
30,South,Mass Market,Low,Construction,100,5
31,West,Mass Market,Medium,Self-Employed,3148.36,8
32,Midwest,Affluent,Low,Self-Employed,19908.55,7
33,West,Emerging Affluent,Low,Healthcare,5518.51,7
34,Midwest,Mass Market,High,Construction,1739.65,8
35,West,Emerging Affluent,High,Education,4733.9,6
36,Midwest,Mass Market,High,Self-Employed,8687.71,5
37,South,Mass Market,Low,Education,7035.77,7
38,Northeast,Emerging Affluent,Medium,Retail,6486.47,3
39,West,Mass Market,Medium,Education,7153.12,6
40,Midwest,Mass Market,Low,Education,5405.56,8
41,Midwest,Small Business,Low,Technology,19515.45,5
42,Midwest,Small Business,Low,Self-Employed,10073.66,5
43,Northeast,Emerging Affluent,Low,Retail,9149.98,3
44,Midwest,Mass Market,Low,Construction,3002.33,1
45,West,Mass Market,Low,Education,18446.4,7
46,Northeast,Mass Market,Medium,Hospitality,717.06,4
47,West,Mass Market,High,Construction,2959.63,8
48,South,Small Business,Low,Technology,14920.41,7
49,Midwest,Mass Market,High,Consulting,2128.46,2
50,Midwest,Mass Market,Low,Hospitality,100,6
51,South,Mass Market,Low,Hospitality,100,2
52,Northeast,Mass Market,Low,Construction,7213.89,7
53,Midwest,Mass Market,Medium,Hospitality,11730.87,7
54,Northeast,Small Business,Medium,Hospitality,13227.2,7
55,South,Small Business,Medium,Education,3060.45,3
56,Midwest,Mass Market,Low,Technology,100,2
57,South,Mass Market,Low,Retail,11804.35,3
58,West,Emerging Affluent,Low,Hospitality,10741.16,6
59,Northeast,Mass Market,Medium,Consulting,8814.13,3
60,South,Small Business,Medium,Retail,14776.92,1
61,Northeast,Emerging Affluent,Low,Construction,12155.43,7
62,Midwest,Mass Market,Low,Healthcare,100,4
63,West,Mass Market,Low,Consulting,9108.67,3
64,South,Small Business,Low,Education,11027.3,1
65,Northeast,Affluent,Medium,Hospitality,20519.88,4
66,West,Mass Market,Low,Education,100,6
67,South,Emerging Affluent,High,Hospitality,7405.31,3
68,Midwest,Emerging Affluent,Medium,Consulting,4231.95,3
69,Northeast,Mass Market,Low,Self-Employed,4643.16,3
70,West,Mass Market,Low,Hospitality,4935.32,1
71,West,Mass Market,Low,Education,10188.96,8
72,Northeast,Affluent,Low,Construction,17817.27,3
73,South,Emerging Affluent,High,Construction,10519.86,3
74,West,Emerging Affluent,Medium,Education,10607.43,8
75,Midwest,Affluent,High,Technology,20793.34,6
76,Midwest,Small Business,Low,Self-Employed,12891.02,1
77,South,Small Business,Low,Education,9054.67,1
78,Northeast,Affluent,High,Technology,18111.13,6
79,West,Mass Market,Low,Retail,5693.74,1
80,South,Mass Market,High,Healthcare,6562.52,4
81,South,Small Business,Medium,Self-Employed,12923.36,4
82,South,Emerging Affluent,Medium,Self-Employed,824.99,3
83,South,Small Business,Low,Education,9117.3,3
84,West,Affluent,High,Consulting,16311.0,7
85,Midwest,Emerging Affluent,Low,Construction,9289.91,3
86,South,Mass Market,Low,Education,3314.04,1
87,Northeast,Mass Market,High,Consulting,1120.55,8
88,South,Mass Market,Low,Hospitality,1430.96,3
89,Midwest,Emerging Affluent,Medium,Healthcare,10203.73,1
90,Midwest,Mass Market,Low,Self-Employed,9227.39,4
91,Northeast,Emerging Affluent,Medium,Self-Employed,7704.76,2
92,South,Emerging Affluent,Low,Technology,8795.48,8
93,Midwest,Small Business,Medium,Education,9696.87,4
94,South,Emerging Affluent,Medium,Consulting,12520.12,7
95,Northeast,Small Business,Low,Technology,18894.85,7
96,South,Mass Market,Low,Technology,6188.18,7
97,Midwest,Affluent,Low,Consulting,16298.77,2
98,South,Mass Market,Low,Retail,7999.52,5
99,Northeast,Mass Market,Low,Hospitality,7369.94,6
100,Midwest,Mass Market,Low,Retail,832.83,2
101,West,Mass Market,Low,Education,9188.82,5
102,West,Mass Market,Low,Self-Employed,100,8
103,West,Mass Market,Low,Consulting,100,2
104,Northeast,Small Business,Low,Self-Employed,9015.68,4
105,West,Emerging Affluent,Medium,Consulting,8476.8,2
106,Northeast,Mass Market,Low,Self-Employed,910.9,2
107,Northeast,Small Business,Low,Consulting,12059.18,5
108,Northeast,Mass Market,Low,Technology,7830.8,7
109,Midwest,Small Business,Low,Construction,16738.75,6
110,South,Emerging Affluent,Low,Healthcare,10842.68,6
111,Northeast,Small Business,Low,Education,10745.08,3
112,South,Small Business,Low,Consulting,8150.63,8
113,South,Mass Market,Low,Retail,381.23,4
114,Northeast,Small Business,Low,Healthcare,15907.82,6
115,Northeast,Emerging Affluent,Low,Retail,13536.04,8
116,West,Mass Market,Low,Construction,100,2
117,Midwest,Mass Market,High,Retail,1190.62,3
118,South,Mass Market,Medium,Technology,2957.0,2
119,South,Emerging Affluent,Medium,Consulting,4841.63,6
120,Northeast,Affluent,Medium,Hospitality,15724.54,2
121,Northeast,Mass Market,Low,Retail,2499.79,7
122,South,Small Business,Low,Technology,11032.59,7
123,South,Emerging Affluent,Low,Construction,8869.6,5
124,West,Mass Market,Medium,Technology,100,3
125,Midwest,Small Business,Low,Hospitality,10563.76,2
126,Northeast,Mass Market,Low,Healthcare,3995.87,2
127,South,Mass Market,High,Consulting,6231.1,6
128,West,Mass Market,High,Self-Employed,10754.42,5
129,South,Mass Market,Medium,Construction,6039.84,3
130,West,Mass Market,Medium,Retail,5643.81,5
131,Midwest,Small Business,Low,Education,10783.7,7
132,Northeast,Mass Market,Medium,Technology,2962.43,8
133,South,Mass Market,Low,Self-Employed,2884.61,6
134,South,Emerging Affluent,Low,Retail,4428.3,8
135,West,Small Business,High,Consulting,7302.47,6
136,Northeast,Emerging Affluent,Medium,Technology,9185.66,5
137,West,Mass Market,Medium,Technology,3685.86,3
138,West,Emerging Affluent,Medium,Healthcare,10907.79,8
139,South,Emerging Affluent,Low,Construction,6999.7,8
140,Northeast,Emerging Affluent,Low,Healthcare,2981.67,6
141,South,Emerging Affluent,Low,Construction,3146.26,6
142,Midwest,Mass Market,Low,Construction,5657.32,4
143,West,Mass Market,Medium,Self-Employed,3789.11,4
144,South,Affluent,Low,Self-Employed,17144.23,7
145,South,Mass Market,Low,Education,3427.54,8
146,West,Emerging Affluent,Low,Technology,1649.14,5
