transaction_id,customer_id,transaction_ts,transaction_type,direction,amount,country_code,channel
1576,105,2026-01-01 01:07:00,ACH Credit,In,1832.52,US,Branch
671,48,2026-01-01 01:52:00,Card Purchase,Out,3625.23,MX,Web
2595,176,2026-01-01 03:50:00,ACH Debit,Out,235.91,US,Web
2487,170,2026-01-01 03:56:00,Wire In,In,5279.36,MX,Web
1727,115,2026-01-01 05:11:00,Wire Out,Out,6087.04,US,Mobile
1495,101,2026-01-01 06:04:00,Card Purchase,Out,1921.51,US,Automated
84,7,2026-01-01 10:29:00,Cash Withdrawal,Out,4624.67,US,Automated
1411,95,2026-01-01 11:23:00,Card Purchase,Out,7880.0,US,Branch
336,26,2026-01-01 11:38:00,Cash Withdrawal,Out,10,US,Web
3526,242,2026-01-01 15:12:00,Wire Out,Out,363.27,US,Automated
243,20,2026-01-01 16:38:00,Wire Out,Out,10,US,Mobile
2943,202,2026-01-01 17:18:00,Card Purchase,Out,2784.86,US,Web
2032,137,2026-01-01 19:27:00,Card Purchase,Out,1957.36,US,Automated
1537,103,2026-01-01 20:04:00,ACH Debit,Out,32.8,US,Web
2495,171,2026-01-01 23:31:00,Cash Withdrawal,Out,10,GB,Mobile
1689,113,2026-01-02 01:20:00,Wire In,In,221.99,CA,Automated
2714,185,2026-01-02 03:52:00,Card Purchase,Out,335.42,SG,Branch
2884,198,2026-01-02 03:59:00,ACH Credit,In,1222.36,US,Mobile
1011,71,2026-01-02 04:36:00,Card Purchase,Out,5407.08,US,Branch
1954,132,2026-01-02 04:46:00,Cash Withdrawal,Out,700.81,US,Mobile
3544,244,2026-01-02 05:21:00,Card Purchase,Out,5925.39,US,Automated
2578,176,2026-01-02 05:24:00,Cash Withdrawal,Out,3744.66,US,Mobile
1122,78,2026-01-02 08:00:00,Cash Deposit,In,20,US,Web
3476,239,2026-01-02 11:17:00,ACH Credit,In,9144.05,US,Automated
3610,248,2026-01-02 12:10:00,Wire In,In,4122.89,US,Mobile
814,58,2026-01-02 12:45:00,Card Purchase,Out,1977.67,US,Web
1811,121,2026-01-02 12:45:00,Wire Out,Out,868.94,US,Web
1680,112,2026-01-02 18:02:00,ACH Debit,Out,10,US,Mobile
788,56,2026-01-02 22:11:00,Cash Deposit,In,54.7,US,Web
735,53,2026-01-02 22:22:00,Card Purchase,Out,3747.57,US,Mobile
1313,90,2026-01-02 22:27:00,Card Purchase,Out,441.61,US,Web
1941,131,2026-01-02 22:49:00,ACH Credit,In,1059.43,US,Branch
736,53,2026-01-02 23:30:00,ACH Debit,Out,10,US,Automated
2799,192,2026-01-02 23:42:00,ACH Debit,Out,1410.78,US,Mobile
2257,152,2026-01-03 03:11:00,Cash Deposit,In,1017.11,US,Web
1471,99,2026-01-03 07:44:00,Card Purchase,Out,10,US,Automated
1306,89,2026-01-03 09:53:00,ACH Credit,In,2612.4,US,Mobile
328,26,2026-01-03 10:05:00,ACH Debit,Out,25.07,US,Mobile
2039,137,2026-01-03 10:46:00,Card Purchase,Out,467.91,US,Branch
3583,246,2026-01-03 12:30:00,ACH Credit,In,9394.12,US,Web
919,65,2026-01-03 12:41:00,Card Purchase,Out,5003.49,US,Web
52,4,2026-01-03 13:10:00,ACH Credit,In,2505.26,DE,Web
2016,136,2026-01-03 13:31:00,Card Purchase,Out,625.24,US,Mobile
1478,100,2026-01-03 14:53:00,ACH Debit,Out,65.57,US,Mobile
3376,233,2026-01-03 17:33:00,ACH Debit,Out,4105.86,MX,Automated
361,28,2026-01-03 17:40:00,Card Purchase,Out,1396.31,GB,Automated
655,47,2026-01-03 20:13:00,Wire In,In,263.78,US,Automated
91,8,2026-01-03 20:26:00,Cash Withdrawal,Out,482.78,US,Automated
3586,246,2026-01-03 20:49:00,ACH Credit,In,2002.3,US,Branch
2290,155,2026-01-04 02:09:00,Wire Out,Out,4714.78,US,Branch
1181,82,2026-01-04 02:10:00,ACH Credit,In,199.36,US,Branch
123,11,2026-01-04 02:43:00,ACH Credit,In,2254.81,US,Branch
2606,177,2026-01-04 03:30:00,ACH Debit,Out,2050.38,US,Automated
1405,95,2026-01-04 03:43:00,Card Purchase,Out,7816.12,US,Web
319,25,2026-01-04 04:10:00,Wire In,In,4615.55,US,Automated
2295,155,2026-01-04 08:05:00,Card Purchase,Out,6014.23,US,Web
1380,93,2026-01-04 08:18:00,ACH Debit,Out,2629.95,MX,Automated
2958,203,2026-01-04 09:37:00,Card Purchase,Out,270.7,US,Mobile
1826,122,2026-01-04 10:59:00,ACH Debit,Out,3521.44,US,Branch
1923,129,2026-01-04 13:48:00,ACH Debit,Out,536.59,US,Branch
3396,234,2026-01-04 13:52:00,ACH Debit,Out,10,US,Branch
2222,150,2026-01-04 14:27:00,Cash Deposit,In,4721.88,US,Web
1285,88,2026-01-04 14:58:00,Wire Out,Out,225.56,US,Branch
877,63,2026-01-04 15:47:00,Card Purchase,Out,4825.09,US,Mobile
1136,79,2026-01-04 17:59:00,Card Purchase,Out,3101.44,US,Web
1638,109,2026-01-04 19:27:00,ACH Debit,Out,17.51,US,Automated
1589,106,2026-01-04 19:42:00,Wire In,In,43.34,US,Mobile
3195,220,2026-01-04 20:34:00,Card Purchase,Out,316.7,US,Branch
1251,86,2026-01-04 21:52:00,ACH Debit,Out,357.3,US,Automated
3054,209,2026-01-05 00:33:00,ACH Credit,In,1539.07,US,Web
2277,153,2026-01-05 00:42:00,Cash Deposit,In,658.87,US,Branch
2497,171,2026-01-05 01:58:00,Cash Deposit,In,719.15,US,Web
1933,130,2026-01-05 02:31:00,Cash Withdrawal,Out,2505.18,US,Branch
290,23,2026-01-05 03:28:00,ACH Debit,Out,5007.2,US,Web
2336,158,2026-01-05 03:41:00,Card Purchase,Out,2322.33,US,Automated
3214,221,2026-01-05 04:23:00,ACH Debit,Out,16.14,US,Automated
2371,161,2026-01-05 06:40:00,Card Purchase,Out,49.39,US,Mobile
712,51,2026-01-05 07:55:00,Cash Withdrawal,Out,53.42,US,Mobile
1862,124,2026-01-05 08:55:00,ACH Credit,In,43.47,US,Automated
2786,191,2026-01-05 12:41:00,Card Purchase,Out,3373.33,US,Automated
